tekst,change,company
umowy zawrzec z kapitalowy neste oil,1,0
zmiana w statut,0,0
raport okresowy polroczny za 2011 psr,1,0
przedluzenie umowy kredytowy na refinansowanie i finansowac zapas spolka,1,0
zawarcie umowy na dostawa ropa naftowy pomiedzy a petraco oil company ltd.,1,0
akcjonariusz posiadajacy co malo 5  glos na nwz 8 sierpien 2011 r.,1,0
tresc uchwala podjac przez nwz 8 sierpien 2011 r.,1,0
odstapic przez w zastepstwie od rozpatrzenie jedno z planowac punkt porzadek obrada,1,0
projekt uchwala nwz,0,0
termin i porzadek nwz,0,0
  akcjonariusz posiadajacy co malo 5  glos,0,0
tresc uchwala powziac przez zwz 27 czerwiec 2011 r.,0,0
powolanie rad nadzorczy na viii kadencja,0,0
powolanie czlonek rad nadzorczy,0,0
umowy zawrzec z petraco oil company ltd.,1,0
projekt uchwala wraz z uzasadnienie na zwz zwolac na 27 czerwiec 2011 r.,0,0
termin i porzadek zwz,0,0
raport okresowy kwartalny skonsolidowac 1/2011 qsr,1,0
wykaz informacja przekazac do publiczny wiadomosci w rok 2010,1,0
zawarcie umowy na dostawa ropa naftowy,1,0
raport okresowy roczny skonsolidowac za 2010 rs,0,0
raport okresowy roczny za 2010 rok,0,0
  zawarcie umowy na dostawa ropa naftowy,0,0
zawarcie umowy na dostawa ropa naftowy,0,0
odstapic exploration & production norge as (epn) od prawic do koncesja poszukiwawczy plac 556,1,0
raport okresowy kwartalny skonsolidowac 4/2010 qsr,1,0
zawiadomienie o zmniejszenie udzial w ogolny liczba glos na w zastepstwie,1,0
transakcja dokonany na akcja przez prokurent,0,0
termin przekazywac raport okresowy w 2011 rok,1,0
przyznanie norge as udzial w koncesja plac 503b,1,0
rozwiazanie spolka gaz,0,0
umowa znaczacy na sprzedaz paliwo plynny do biskup europa siebie,0,0
rejestracja w kdpw akcja seria co,1,0
dopuscic i wprowadzenie do obrot gieldowy akcja seria co,1,0
przyjecie akcja seria co do depozyt papier wartosciowy przez kdpw,1,0
umowa znaczacy na sprzedaz paliwo z shell polski sp. z o.o.,1,0
zawarcie umowy na dostawa ropa naftowy,1,0
srategia do rok 2015,1,0
umowa znaczacy z mitsubishi international gmbh,0,0
raport okresowy kwartalny skonsolidowac 3/2010 qsr,0,0
raport okresowy polroczny za 2010 psr,1,0
powolanie osoba nadzorowac   informacja uzupelniac,1,0
akcjonariusz posiadajacy co malo 5  glos na zwz 28 czerwiec 2010 rok,1,0
tresc uchwala powziac przez zwz 28 czerwiec 2010 r.,1,0
powolanie osoba nadzorowac,1,0
umowa znaczacy z pgnig,0,0
projekt uchwala wraz z uzasadnienie na zwz zwolac na dzien 28 czerwiec 2010 r.,1,0
termin i porzadek zwz,0,0
wykaz informacja przekazac do publiczny wiadomosci w rok 2009,1,0
zawarcie umowy na dostawa ropa naftowy,1,0
raport okresowy kwartalny skonsolidowac 1/2010 qsr,1,0
raport okresowy roczny za 2009 rok,1,0
raport okresowy roczny skonsolidowac za 2009 rs,1,0
asymilacja akcja przez kdpw,0,0
wprowadzenie do obrot gieldowy akcja seria a,0,0
znaczacy umowa z anwim,0,0
rezygnacja czlonek rad nadzorczy,0,0
realizacja pakiet antykryzysowego przez kapitalowy,0,0
umowa znaczacy z asfalt sp. z o.o.,0,0
uzupelnienie informacja zawrzec w raport kwartalny za 4 kwartal 2009 roku.,1,0
raport okresowy qsr,1,0
powolanie osoba nadzorowac   informacja uzupelniac,1,0
akcjonariusz posiadajacy co malo 5  glos na nwz,0,0
tresc uchwala powziac przez nwz 11 luty 2010 r.,1,0
powolanie osoba nadzorowac,1,0
odwolanie osoba nadzorowac,1,0
znaczny pakiet akcja   zmiana stan posiadanie akcja przez skarb panstwo,0,0
termin przekazywac raport okresowy w 2010 rok,1,0
przyznanie norge as udzial w koncesja plac 556,1,0
asymilacja akcja przez kdpw,0,0
wprowadzenie do obrot gieldowy akcja seria a,0,0
termin oraz porzadek nadzwyczajny walny zgromadzenie   korekta,0,0
projekt uchwala nwz 11 luty 2010 r.,0,0
termin oraz porzadek nwz,0,0
akcja seria co   informacja w oparcie o õ24 regulamin gpw,0,0
umowa znaczacy z biskup polski,0,0
znaczacy umowa z lukoil polski sp. z o.o.,0,0
wybor podmiot uprawniony do badanie sprawozdanie finansowy,0,0
akcjonariusz posiadajacy co malo 5  glos na nwz w dzien 17 grudzien 2009 roku.,1,0
tresc uchwala powziac przez nwza,1,0
zawarcie umowy na dostawa ropa naftowy,1,0
umowa znaczacy na sprzedaz paliwo,1,0
umowa sprzedaz gaz plynny propan butan,1,0
zawarcie umowy na dostawa ropa naftowy,1,0
zawarcie aneks do umowy,0,0
przekroczenie 5  ogolny liczba glos w spolka,0,0
projekt uchwala nwz zwolac na 17 grudzien 2009 r.,0,0
termin oraz porzadek nwz,1,0
raport okresowy qsr,0,0
zmiana koncesja oraz przeszacowac zasoby zloze bar 8,0,0
aktualizacja termin publikacja raport okresowy,0,0
zakup udzial w norweski koncesja wydobywczy,1,0
zawarcie umowy znaczacy pomiedzy paliwo a pol   miedz trans,1,0
zakup udzial w koncesja poszukiwawczy pl455,0,0
zawarcie umowy znaczacy z kolej sp. z o.o.,1,0
nabycie udzial parafina sp. z o.o. przez spolka,1,0
powolanie prokurent,0,0
asymilacja akcja przez kdpw,1,0
projekt uchwala nwz zwolac na dzien 22.01.2008 r.,1,0
zmiana oswiadczenie zarzad dotyczyc zasada lad korporacyjny,1,0
rejestracja zmiana w statut,0,0
termin oraz porzadek nwza,1,0
objecie udzial w park technologiczny przez czechowice,0,0
odwolanie osoba nadzorowac,1,0
aktualizacja termin publikacja raport okresowy w 2009 r.,1,0
zakup udzial w norweski koncesja poszukiwawczy,1,0
zawarcie umowy znaczacy z tank sp. z o.o.,0,0
doplata do kapital spolka zalezny paliwo sp. z o.o.,1,0
zmiana warunki umowy znaczacy,0,0
nabycie akcja spolka zalezny przez petrobaltic,0,0
umowa kredytowy z konsorcjum bank,0,0
powolanie czlonek zarzad,0,0
rozwiazanie umowy znaczacy,0,0
zawarcie umowy znaczacy z biopaliwo sp. z o.o.,1,0
ocena rad nadzorczy sytuacja spolka po 2005 rok,0,0
podpisac umowy kredytowy,0,0
koncesja na eksploatacja gazowy zloze b4,1,0
wykaz informacja przekazac do publiczny wiadomosci w rok 2006,0,0
wyplata dywidenda za 2006 rok,0,0
podpisac aneks do znaczacy umowy,0,0
odwolanie osoba zarzadzajaca,1,0
objecie aktyw finansowy o znaczacy wartosc,1,0
zasada wyplat dywidenda,0,0
objecie akcja nowa emisja,1,0
nabycie przez mazowsze udzial w krakowski gaz,1,0
stanowisko zarzad odnosnie rekomendacja unicredit,1,0
stanowisko zarzad odnosnie wczesnie opublikowac prognoza wynik na 2005 r.,0,0
termin raport okresowy w 2006 rok,0,0
projekt uchwala zwz spolka zwolac na dzien 19.06.2006 r.,1,0
objecie udzial park technologiczny sp. z o.o.,0,0
kontrakty spot pomiedzy z j&s service & investment ltd.,0,0
projekt uchwala nwz spolka zwolac na dzien 30.01.2006 r.,0,0
raport okresowy qsr,1,0
powolanie zarzad szosta kadencja   informacja uzupelniac,0,0
zmiana wysokosc kapital zakladowy laba sp. z o.o.,0,0
przedluzenie koncesja wydac na rzecz petrobaltic,1,0
informacja o zastosowac zasada lad korporacyjny,1,0
zakonczenie postepowanie likwidacyjny spolka rc paliwo sp. z o.o.,1,0
raport okresowy qsr,1,0
zawarcie umowic pomiedzy a,1,0
nabycie akcja o wartosc powyzej 5000 euro,0,0
rejestracja zmiana wysokosc kapital zakladowy park technologiczny,1,0
transakcja pomiedzy podmiot powiazac,0,0
zmiana oswiadczenie dot. zasada lad korporacyjny,1,0
rezygnacja osoba nadzorowac   uzupelnienie informacja,0,0
stanowisko zarzad w sprawa polaczenie z partner sp. z o.o.,1,0
akcjonariusz 5  glos na zwz 30 czerwiec 2008 rok,1,0
informacja przekazac do publiczny wiadomosci w rok 2005,0,0
rozszerzyc zakres dwa koncesja,0,0
rejestracja podwyzszenie kapital zakladowy,0,0
zawarcie umowy znaczacy z shell polski sp. z o.o.,0,0
akcjonariusz   5  glos na nwz po wznowienie obrada,0,0
stanowisko zarzad w sprawa polaczenie z partner sp. z o.o.,1,0
zmiana struktura kapital zakladowy parafina sp. z o.o.,1,0
podpisac umowy na zakup stacja paliwo slovnaft,1,0
skorygowac struktura kapital zakl. park technologiczny sp. z o.o.,0,0
transakcja na akcja spolka w rok 2006,0,0
raport okresowy qsr,1,0
termin nwz oraz tresc proponowac zmiana postanowienie statut,0,0
skonsolidowac raport polroczny,0,0
zawarcie trojstronny umowy znaczacy,1,0
rejestracja przez sad podwyzszenie kapital zakladowy,1,0
wybor podmiot uprawniony do badanie sprawozdanie finansowy spolka,1,0
otwarcie postepowanie likwidacyjny wobec rc paliwo sp. z o.o.,0,0
termin oraz porzadek zwz,0,0
ustanowic prokurent,0,0
zbycie przez jaslo udzial spolka petrosoft.pl,1,0
korekta prognoza wynik finansowy na 2007 rok,0,0
rozwiazanie znaczacy umowy,0,0
zawarcie umowy znaczacy pomiedzy spolka zalezny,0,0
raport roczny,1,0
korekta sprawozdanie zarzad z dzialalnosc spolka za rok 2007,1,0
zawarcie umowy znaczacy z lukoil polski sp. z o.o.,1,0
objecie udzial w park technologiczny sp. z o.o. przez,1,0
objecie aktyw finansowy o znaczacy wartosc przez jaslo,1,0
rejestracja zmiana struktura kapital zakladowy ochrona sp. z o.o.,1,0
podpisac kontrakt,1,0
tresc nowe tekst jednolity statut,0,0
zawarcie trojstronny umowy znaczacy,1,0
powolanie zarzad siodma kadencja,1,0
podpisac kontrakt epc na budowa instalacja hds,0,0
zakonczenie subskrypcja akcja seria co,0,0
tresc uchwala powziac przez zwza,0,0
nwz   zmiana porzadek obrada,1,0
termin zwolanie oraz porzadek nwz,1,0
objecie akcja w exploration andante production norge as,0,0
koncesja na eksploatacja gazowy zloze b4,1,0
zmiana porzadek obrada nwz zwolac na 27 kwietni 2009 r.,0,0
nabycie przez mazowsze udzial spolka krakowski gaz sp. z o.o.,0,0
informacja uzupelniac do prognoza wynik finansowy na 2005 r.,1,0
wprowadzenie do obrot gieldowy akcja seria a spolka,1,0
raport okresowy qsr,0,0
umowy zawrzec z shell polski sp. z o.o.,1,0
korekta skonsolidowac raport za iii kwartal 2007 rok,0,0
rejestracja zmiana wysokosc kapital zakladowy park technologiczny,0,0
projekt uchwala zwz zwolac na 30 czerwiec 2009 r.,1,0
tresc uchwala powziac przez nwz w dzien 27 kwietni 2009 r.,1,0
powolanie osoba nadzorowac,1,0
opinia rn w sprawa ocena sytuacja spolka w 2006 rok,1,0
zmiana kapital exploration andante production norge a.s.,1,0
zmiana w sklad rad nadzorczy,1,0
nabycie spolka exploration andante production norge a.s.,1,0
nabycie przez mazowsze udzial spolka krakowski gaz sp. z o.o.   korekta,0,0
wybor podmiot uprawniony do badanie sprawozdanie finansowy,0,0
spelnienie warunki zawieszac umowy znaczacy,0,0
informowac,0,0
powolanie osoba nadzorowac,0,0
zmiana profil dzialalnosc rafineria czechowice,1,0
zawarcie umowy znaczacy pomiedzy a asfalt,1,0
raport okresowy qsr,1,0
kontrakt w rama program kompleksowy rozwoj techniczny,1,0
zmniejszenie udzial w ogolny liczba glos,0,0
termin raport,1,0
przyznanie norge as udzial w cztery koncesja poszukiwawczy,0,0
raport roczny,0,0
skonsolidowac raport roczny,0,0
zawarcie umowy znaczacy,1,0
wyplata dywidenda za 2006 rok,0,0
ustanowic prokurent,0,0
wprowadzenie do obrot gieldowy akcja seria a,0,0
umowa z podmiot powiazac,0,0
porzadek zwz   uzupelnienie,1,0
akcjonariusz posiadajacy co malo 5  glos na nwz,0,0
zawarcie umowy na dostawa ropa naftowy,1,0
rozpoczecie eksploatacja zloze b8 przez spolka petrobaltic,0,0
wprowadzenie do obrot gieldowy akcja seria a,0,0
wykaz informacja przekazac do publiczny wiadomosci w rok 2007,0,0
zmiana data publikacja raport okresowy,0,0
powolanie osoba nadzorowac,1,0
odwolanie osoba nadzorowac,1,0
tresc uchwala powziac przez zwz w dzien 28 maja 2007 rok,1,0
skonsolidowac raport polroczny,1,0
rezygnacja czlonek rn vii kadencja,0,0
tresc nowe tekst jednolity statut,0,0
wprowadzenie do obrot gieldowy akcja seria a spolka,0,0
skonsolidowac raport roczny,0,0
wplyw wycena zapas metoda lifo na skonsolidowac wynik finansowy,0,0
skonsolidowac raport polroczny   sprostowanie,0,0
pakiet antykryzysowy dla kapitalowy,1,0
projekt uchwala nwza zwolac na dzien 23.08.2005 r.,1,0
projekt uchwala nwz zwolac na 27 kwietni 2009 r.,1,0
tresc uchwala powziac przez nwz 20 luty 2008 rok,0,0
objecie aktyw finansowy o znaczacy wartosc,1,0
zmiana w statut,1,0
odwolanie prokurent,1,0
projekt uchwala zwz zwolac na 30 czerwiec 2008 r. wraz z uzasadnienie,1,0
tresc nowe tekst jednolity statut,0,0
polaczenie oraz partner sp. z o.o.,0,0
podpisac kontrakt epc lstk,0,0
oswiadczenie zarzad dot.przestrzegania zasada lad korporacyjny w spolka,0,0
powolanie czlonek zarzad   informacja uzupelniac,1,0
zawarcie umowy znaczacy z biskup polski sp. z o.o.,1,0
zawarcie trojstronny umowy,0,0
termin przekazywac raport okresowy w 2007 r.,0,0
opinia rn w sprawa ocena sytuacja spolka w 2006 rok,1,0
zawarcie umowy znaczacy z kolej sp. z o.o.,1,0
raport okresowy qsr,1,0
nabycie znaczny pakiet akcja seria co,0,0
umowy zawrzec z j&s service andante investment ltd na laczny wartosc umowy znaczacy,0,0
nabycie przez laba sp. z o.o. 100  udzial spolka laboratorium badacz sp. z o.o.,1,0
informacja o transakcja dokonany na akcja spolka,1,0
nabycie znaczny pakiet akcja,1,0
zawarcie umowy znaczacy,0,0
zbycie znaczny pakiet akcja spolka,0,0
raport okresowy qsr,1,0
termin oraz porzadek zwz,0,0
zawarcie trojstronny umowy znaczacy,0,0
zasada przyjety odnosnie konwersja akcja imienny na akcja na okaziciel,1,0
raport okresowy qsr,1,0
rejestracja podwyzszenie kapital zakladowy,0,0
zmiana w statut,0,0
zarejestrowac spolka zalezny,1,0
rezygnacja osoba nadzorowac,0,0
zloze b8   koncesja na wydobywac ropa naftowy i gaz ziemny,0,0
wybor podmiot uprawniony do badanie sprawozdanie finansowy,0,0
termin i porzadek obrada nwz   uzupelnienie,1,0
termin oraz porzadek zwz,1,0
raport okresowy qsr,1,0
zawarcie umowy znaczacy pomiedzy z,1,0
remont w rafineria w gdanski w 2007 rok,0,0
nowa tresc statut,1,0
stanowisko zarzad odnosnie sytuacja spolka,0,0
przerwa w produkcja w jaslo,1,0
umowa z shell global solutions international,0,0
raport okresowy qsr,1,0
wybor podmiot uprawniony do badanie sprawozdanie finansowy,1,0
zloze b23   przedluzenie koncesja na poszukiwanie i rozpoznanie zloze ropa i gaz,1,0
termin oraz porzadek zwz,0,0
ustanowic prokurent,0,0
zawarcie umowic pomiedzy a,0,0
asymilacja akcja przez kdpw,0,0
akcjonariusz posiadajacy co malo 5  glos na nwz,0,0
tekst jednolity statut,1,0
zawarcie umowy znaczacy z biskup polski,0,0
polaczenie z partner sp. z o.o.,1,0
akcjonariusz posiadajacy co malo 5  glos na zwz 28 maja 2007 r.,1,0
tresc uchwala powziac przez zwz 28 maja 2007 r.   korekta,1,0
rejestracja przez sad podwyzszenie kapital zakladowy,1,0
finalizacja zakup udzial w norweski koncesja wydobywczy,1,0
rozszerzyc skonsolidowac raport polroczny,0,0
tresc uchwala powziac przez nwz w dzien 22 styczen 2008 r.,1,0
zestawienie rezerwa ropa naftowy oraz gaz ziemny,1,0
tresc uchwala powziac przez zwz 19 czerwiec 2006 r.,1,0
zestawienie rezerwa ropa naftowy oraz gaz ziemny,1,0
podpisac umowic offsetowy,1,0
raport okresowy qs,1,0
akcjonariusz posiadajacy co malo 5  glos na zwz,1,0
ogloszenie upadlosc obejmowac likwidacja majatek spolka krakowski gaz sp. z o.o.,1,0
skonsolidowac raport polroczny   sprostowanie,0,0
skonsolidowac raport polroczny,0,0
zmiana w statut,0,0
zawarcie umowy znaczacy z kolej sp. z o.o.,1,0
nabycie znaczny pakiet akcja seria co,0,0
nabycie znaczny pakiet akcja,1,0
ogloszenie upadlosc obejmowac likwidacja majatek spolka krakowski gaz sp. z o.o.,1,0
zakonczenie subskrypcja akcja seria co,0,0
zbycie znaczny pakiet akcja spolka,0,0
nowa tresc statut,1,0
rejestracja przez sad podwyzszenie kapital zakladowy,1,0
rejestracja zmiana w statut,1,0
umowy zawrzec z j&s service andante investment ltd na laczny wartosc umowy znaczacy,0,0
akcjonariusz posiadajacy co malo 5  glos na zwz,1,0
tresc uchwala powziac przez zwza,0,0
powolanie zarzad siodma kadencja   uzupelnienie,1,0
powolanie zarzad siodma kadencja,1,0
projekt uchwala zwz zwolac na 30 czerwiec 2009 r.,1,0
termin oraz porzadek zwz,0,0
raport okresowy qsr,1,0
wykaz informacja przekazac do publiczny wiadomosci w rok 2008,1,0
powolanie osoba nadzorowac   informacja uzupelniac,0,0
wniosek o ogloszenie upadlosc spolka krakowski gaz sp. z o.o.,0,0
akcjonariusz posiadajacy co malo 5  glos na nwz,0,0
skonsolidowac raport roczny,0,0
raport roczny,0,0
tresc uchwala powziac przez nwz w dzien 27 kwietni 2009 r.,1,0
powolanie osoba nadzorowac,1,0
projekt uchwala nwz zwolac na 27 kwietni 2009 r.,1,0
zmiana porzadek obrada nwz zwolac na 27 kwietni 2009 r.,0,0
termin oraz porzadek nwza,1,0
aktualizacja termin publikacja raport okresowy w 2009 r.,1,0
zawarcie umowy znaczacy z neste oil (suisse),0,0
rezygnacja czlonek rn vii kadencja,0,0
rejestracja podwyzszenie kapital zakladowy,0,0
raport okresowy qsr,1,0
zawarcie umowy znaczacy z total deutschland gmbh,1,0
pakiet antykryzysowy dla kapitalowy,1,0
wybrana szacunkowy skonsolidowac dane za czwarty kwartal 2008,0,0
termin raport,1,0
objecie akcja nowa emisja przez petrobaltic,1,0
finalizacja zakup udzial w norweski koncesja wydobywczy,1,0
sprzedaz znaczacy aktyw finansowy przez spolka zalezny,1,0
zawarcie umowy znaczacy z biskup polski,0,0
zawarcie umowy znaczacy z lukoil polski sp. z o.o.,1,0
przyznanie norge as udzial w cztery koncesja poszukiwawczy,0,0
zawarcie umowy znaczacy z shell polski sp. z o.o.,0,0
stanowisko zarzad odnosnie sytuacja spolka,0,0
stanowisko zarzad odnosnie rekomendacja unicredit,1,0
zawarcie umowy znaczacy z statoil poland sp. z o.o.,0,0
raport okresowy qsr,1,0
umowy zawrzec z statoilhydro as,0,0
zakup udzial w norweski koncesja wydobywczy,1,0
zawarcie umowy znaczacy z tank sp. z o.o.,0,0
rozszerzyc zakres dwa koncesja,0,0
zestawienie rezerwa ropa naftowy oraz gaz ziemny,1,0
rejestracja podwyzszenie kapital zakladowy jednostki zalezny,1,0
rozszerzyc skonsolidowac raport polroczny,0,0
rejestracja podwyzszenie kapital zakladowy,0,0
finalizacja zakup udzial w norweski koncesja wydobywczy,1,0
objecie akcja w exploration andante production norge as,0,0
zakup udzial w norweski koncesja poszukiwawczy,1,0
rejestracja zmiana w statut,0,0
tresc nowe tekst jednolity statut,0,0
raport okresowy qsr,1,0
objecie aktyw finansowy o znaczacy wartosc,1,0
powolanie osoba nadzorowac   informacja uzupelniac,1,0
objecie aktyw finansowy o znaczacy wartosc,1,0
rezygnacja czlonek rad nadzorczy vi kadencja,0,0
informowac,0,0
powolanie osoba nadzorowac,0,0
akcjonariusz 5  glos na zwz 30 czerwiec 2008 rok,1,0
tresc uchwala powziac przez zwz,1,0
zawarcie umowy znaczacy pomiedzy z,1,0
powolanie osoba nadzorowac,0,0
podpisac umowy kredytowy,0,0
nabycie spolka exploration andante production norge a.s.,1,0
przedluzenie koncesja wydac na rzecz petrobaltic,1,0
projekt uchwala zwz zwolac na 30 czerwiec 2008 r. wraz z uzasadnienie,1,0
zaktualizowac strategia do rok 2012,1,0
nabycie akcja spolka zalezny przez petrobaltic,0,0
zmiana kapital exploration andante production norge a.s.,1,0
raport roczny,1,0
korekta sprawozdanie zarzad z dzialalnosc spolka za rok 2007,1,0
termin oraz porzadek zwz,0,0
zakup udzial w norweski koncesja wydobywczy,1,0
objecie akcja nowa emisja,1,0
raport okresowy qsr,1,0
raport roczny,1,0
skonsolidowac raport roczny,1,0
korekta prognoza wynik finansowy na 2007 rok,0,0
zawarcie umowy znaczacy z biopaliwo sp. z o.o.,1,0
zmiana data publikacja raport roczny,0,0
umorzyc postepowanie upadlosciowy glimar,0,0
tresc nowe tekst jednolity statut,0,0
raport okresowy qsr,1,0
akcjonariusz   5  glos na nwz po wznowienie obrada,0,0
tresc uchwala powziac przez nwz 20 luty 2008 rok,0,0
powolanie prokurent,1,0
odwolanie prokurent,1,0
asymilacja akcja przez kdpw,0,0
wprowadzenie do obrot gieldowy akcja seria a,0,0
wykaz informacja przekazac do publiczny wiadomosci w rok 2007,0,0
akcjonariusz posiadajacy co malo 5  glos na nwz,0,0
termin raport okresowy w 2008 rok,0,0
tresc uchwala powziac przez nwz w dzien 22 styczen 2008 r.,1,0
ogloszenie przerwa w obrada nwz spolka,0,0
zawarcie umowy znaczacy z biskup polski sp. z o.o.,1,0
projekt uchwala nwz zwolac na dzien 22.01.2008 r.,1,0
informacja o zastosowac zasada lad korporacyjny,1,0
zbycie przez jaslo udzial spolka petrosoft.pl,1,0
informacja o stosowac zasada lad korporacyjny,0,0
umowy z lukoil warsaw sp. z o.o.,0,0
umowy zawrzec z shell polski sp. z o.o.,1,0
zawarcie umowy znaczacy pomiedzy biopaliwo a zaklad kruszwica,0,0
umowa kredytowy z konsorcjum bank,0,0
rozpoczecie eksploatacja zloze b8 przez spolka petrobaltic,0,0
przedluzenie siedem koncesja poszukiwawczo rozpoznawczych,1,0
termin i porzadek obrada nwz   uzupelnienie,1,0
termin nwz oraz tresc proponowac zmiana postanowienie statut,0,0
kontrakty spot pomiedzy z j&s service & investment ltd.,0,0
korekta skonsolidowac raport za iii kwartal 2007 rok,0,0
powolanie prokurent,0,0
odwolanie osoba zarzadzajaca,1,0
raport okresowy qsr,0,0
zmiana prognoza skonsolidowac wynik finansowy na 2007 rok,0,0
zawarcie umowy znaczacy pomiedzy biopaliwo sp. z o.o. a komagra sp. z o.o.,0,0
zmniejszenie udzial w ogolny liczba glos,0,0
zakonczenie postepowanie likwidacyjny spolka rc paliwo sp. z o.o.,1,0
zawarcie umowic pomiedzy a,1,0
prognoza skonsolidowac wynik finansowy na 2007 rok   korekta,1,0
prognoza skonsolidowac wynik finansowy,1,0
zarejestrowac spolka zalezny,1,0
skonsolidowac raport polroczny,1,0
korekta skonsolidowac raport za ii kwartal 2007 r.,1,0
raport okresowy qsr,1,0
podpisac aneks do znaczacy umowy,0,0
kontrakt w rama program kompleksowy rozwoj techniczny,1,0
nabycie przez mazowsze udzial w krakowski gaz,1,0
dzien wyplat dywidenda za 2006 rok,1,0
tresc nowe tekst jednolity statut,0,0
polaczenie oraz partner sp. z o.o.,0,0
podpisac kontrakt epc lstk,0,0
oswiadczenie zarzad dot.przestrzegania zasada lad korporacyjny w spolka,0,0
podpisac kontrakt,1,0
realizacja pkrt   podpisac kontrakt epcm,1,0
powolanie osoba nadzorowac   informacja uzupelniac,1,0
akcjonariusz posiadajacy co malo 5  glos na zwz 28 maja 2007 r.,1,0
tresc uchwala powziac przez zwz 28 maja 2007 r.   korekta,1,0
powolanie osoba nadzorowac,1,0
odwolanie osoba nadzorowac,1,0
tresc uchwala powziac przez zwz w dzien 28 maja 2007 rok,1,0
wyplata dywidenda za 2006 rok,0,0
koncesja na eksploatacja gazowy zloze b4,1,0
stanowisko zarzad w sprawa polaczenie z partner sp. z o.o.,1,0
projekt uchwala zwz zwolac na dzien 28 maja 2007 r.,0,0
raport okresowy qsr,1,0
opinia rn w sprawa ocena sytuacja spolka w 2006 rok,1,0
wybor podmiot uprawniony do badanie sprawozdanie finansowy,0,0
